顺位,用时,开始时间,规则,牌谱,段位,pt,获得pt,R值,1位玩家,1位得点,2位玩家,2位得点,3位玩家,3位得点,4位玩家,4位得点,虚拟段位,虚拟pt,虚拟获得pt,By nodocchi.moe
1位,14分,2014-12-02 22:08,四上東喰赤－,https://tenhou.net/3/?log=2014120223gm-00c1-0000-a8062ecf&tw=3,二段,490,40,,CLS,50.0,あや☆,19.0,yachisen,-22.0,チャー翻,-47.0,,,
3位,14分,2014-12-02 22:47,四上東喰赤－,https://tenhou.net/3/?log=2014120223gm-00c1-0000-34327524&tw=2,二段,530,0,,squll014,53.0,いーずみ,1.0,CLS,-22.0,わろす,-32.0,,,
4位,16分,2014-12-02 23:59,四上東喰赤－,https://tenhou.net/3/?log=2014120300gm-00c1-0000-a984a1b5&tw=2,二段,530,-40,,913x,50.0,厩舎猫,11.0,218000,-14.0,CLS,-47.0,,,
1位,20分,2014-12-03 00:16,四上東喰赤－,https://tenhou.net/3/?log=2014120301gm-00c1-0000-f30b0ac6&tw=1,二段,490,40,,CLS,44.0,吹雪[主人公],3.0,ガロFINAL,-18.0,ジュンイチロー,-29.0,,,
2位,10分,2014-12-04 00:08,四上東喰赤－,https://tenhou.net/3/?log=2014120401gm-00c1-0000-d8ce96f9&tw=3,二段,530,10,,naoroot,46.0,CLS,8.0,SEPP,-18.0,jkkojun,-36.0,,,
2位,11分,2014-12-09 16:34,四上東喰赤－,https://tenhou.net/3/?log=2014120917gm-00c1-0000-49f056a6&tw=0,二段,540,10,,泰然,70.0,CLS,2.0,Lenon,-18.0,"cgl,dfxs",-54.0,,,
1位,16分,2014-12-09 16:46,四上東喰赤－,https://tenhou.net/3/?log=2014120917gm-00c1-0000-a1a0338e&tw=1,二段,550,40,,CLS,46.0,花凛糖,9.0,麻雀人,-21.0,69191969,-34.0,,,
2位,9分,2014-12-09 17:03,四上東喰赤－,https://tenhou.net/3/?log=2014120918gm-00c1-0000-931aea3c&tw=1,二段,590,10,,やまのこ２,40.0,CLS,9.0,y00uki,-14.0,ifan,-35.0,,,
2位,13分,2014-12-09 17:16,四上東喰赤－,https://tenhou.net/3/?log=2014120918gm-00c1-0000-f5a43ba5&tw=0,二段,600,10,,コロ,49.0,CLS,3.0,こぉちゃん580,-19.0,kemiss,-33.0,,,
2位,8分,2014-12-09 17:30,四上東喰赤－,https://tenhou.net/3/?log=2014120918gm-00c1-0000-1d9538d8&tw=2,二段,610,10,,taro1122,41.0,CLS,6.0,あざらし,-17.0,sigld,-30.0,,,
1位,11分,2014-12-09 17:39,四上東喰赤－,https://tenhou.net/3/?log=2014120918gm-00c1-0000-46eeb7b6&tw=0,二段,620,40,,CLS,45.0,コル美先生,6.0,難しい,-15.0,DDDDDDDD,-36.0,,,
3位,14分,2014-12-09 18:11,四上東喰赤－,https://tenhou.net/3/?log=2014120919gm-00c1-0000-5eff7d63&tw=2,二段,660,0,,0721sato,42.0,東京スカイツリー,8.0,CLS,-17.0,GNH,-33.0,,,
4位,11分,2014-12-09 18:26,四上東喰赤－,https://tenhou.net/3/?log=2014120919gm-00c1-0000-3ff8478b&tw=2,二段,660,-40,,中村一義,47.0,dozitan,6.0,ねこ6匹,-16.0,CLS,-37.0,,,
1位,19分,2014-12-09 18:38,四上東喰赤－,https://tenhou.net/3/?log=2014120919gm-00c1-0000-77eaa285&tw=2,二段,620,40,,CLS,44.0,トロくん,6.0,NK@汪汪軍團,-19.0,cooyour,-31.0,,,
4位,14分,2014-12-09 18:58,四上東喰赤－,https://tenhou.net/3/?log=2014120919gm-00c1-0000-18aa1ec2&tw=2,二段,660,-40,,哀雀士,42.0,オムあんこ,9.0,なかつかてるを,-18.0,CLS,-33.0,,,
4位,11分,2014-12-09 19:13,四上東喰赤－,https://tenhou.net/3/?log=2014120920gm-00c1-0000-6a0cfc96&tw=3,二段,620,-40,,シモタカ,52.0,annmitsu,6.0,フリード,-18.0,CLS,-40.0,,,
2位,8分,2014-12-09 19:50,四上東喰赤－,https://tenhou.net/3/?log=2014120920gm-00c1-0000-de58c57b&tw=2,二段,580,10,,emptylif,42.0,CLS,11.0,遠山キンジ,-20.0,まるく□,-33.0,,,
3位,10分,2014-12-09 19:58,四上東喰赤－,https://tenhou.net/3/?log=2014120920gm-00c1-0000-0b67c591&tw=0,二段,590,0,,sleepcat,42.0,紫苑寺紫狼,10.0,CLS,-20.0,hiro1515,-32.0,,,
1位,12分,2014-12-09 20:09,四上東喰赤－,https://tenhou.net/3/?log=2014120921gm-00c1-0000-d15f83af&tw=3,二段,590,40,,CLS,49.0,長月,6.0,くまざわ,-21.0,plak1105,-34.0,,,
4位,18分,2014-12-09 20:31,四上東喰赤－,https://tenhou.net/3/?log=2014120921gm-00c1-0000-1268fcb4&tw=0,二段,630,-40,,黒‐ヘイ‐,55.0,柳夢璃,20.0,花子とＬＯＮ,-20.0,CLS,-55.0,,,
1位,10分,2014-12-09 20:57,四上東喰赤－,https://tenhou.net/3/?log=2014120921gm-00c1-0000-c39be473&tw=3,二段,590,40,,CLS,58.0,百無一勝,6.0,わろす,-16.0,霸王丸,-48.0,,,
